"","name","data","NC","props","valueType","aggregationType","model","command","path"
"1","simKang_NC400_dp10_counts_None_MMdream2","simKang","NC400","dp10","counts","None","MMdream2","apply_MM_dream2(simKang_NC400_dp10_counts_None)","dataOutput/modelResults/simKang_NC400_dp10_counts_None_MMdream2.rds"
"2","simKang_NC400_dp10_counts_None_MMvst","simKang","NC400","dp10","counts","None","MMvst","apply_MM_vst(simKang_NC400_dp10_counts_None)","dataOutput/modelResults/simKang_NC400_dp10_counts_None_MMvst.rds"
"3","simKang_NC400_dp10_counts_Sum_limmaVoom","simKang","NC400","dp10","counts","Sum","limmaVoom","apply_limma_voom(simKang_NC400_dp10_counts_Sum)","dataOutput/modelResults/simKang_NC400_dp10_counts_Sum_limmaVoom.rds"
"4","simKang_NC400_dp10_counts_Sum_DESeq2","simKang","NC400","dp10","counts","Sum","DESeq2","apply_DESeq2(simKang_NC400_dp10_counts_Sum)","dataOutput/modelResults/simKang_NC400_dp10_counts_Sum_DESeq2.rds"
"5","simKang_NC400_dp10_counts_Sum_edgeR","simKang","NC400","dp10","counts","Sum","edgeR","apply_edgeR(simKang_NC400_dp10_counts_Sum)","dataOutput/modelResults/simKang_NC400_dp10_counts_Sum_edgeR.rds"
"6","simKang_NC400_dp10_vstresiduals_Mean_limmaTrend","simKang","NC400","dp10","vstresiduals","Mean","limmaTrend","apply_limma_trend(simKang_NC400_dp10_vstresiduals_Mean)","dataOutput/modelResults/simKang_NC400_dp10_vstresiduals_Mean_limmaTrend.rds"
"7","simKang_NC400_dp10_logcounts_Mean_limmaTrend","simKang","NC400","dp10","logcounts","Mean","limmaTrend","apply_limma_trend(simKang_NC400_dp10_logcounts_Mean)","dataOutput/modelResults/simKang_NC400_dp10_logcounts_Mean_limmaTrend.rds"
"8","simKang_NC400_dp10_logcounts_None_scDD","simKang","NC400","dp10","logcounts","None","scDD","apply_scdd(simKang_NC400_dp10_logcounts_None)","dataOutput/modelResults/simKang_NC400_dp10_logcounts_None_scDD.rds"
"9","simKang_NC400_dp10_cpm_Sum_edgeR","simKang","NC400","dp10","cpm","Sum","edgeR","apply_edgeR(simKang_NC400_dp10_cpm_Sum)","dataOutput/modelResults/simKang_NC400_dp10_cpm_Sum_edgeR.rds"
"10","simKang_NC400_dm10_counts_Sum_edgeR","simKang","NC400","dm10","counts","Sum","edgeR","apply_edgeR(simKang_NC400_dm10_counts_Sum)","dataOutput/modelResults/simKang_NC400_dm10_counts_Sum_edgeR.rds"
